thresh_nan,thresh_quant,thresh_corr,gamma,batch_size,num_batches,gen_err
0.4,0.9,0.9,0.0001,64,23,0.5213380278910968
0.4,0.9,0.9,0.0001,64,30,0.5212509455264751
0.4,0.9,0.9,0.0001,64,50,0.52127873678688
0.4,0.9,0.9,0.0001,128,23,0.5209991169047906
0.4,0.9,0.9,0.0001,128,30,0.5206198871896376
0.4,0.9,0.9,0.0001,128,50,0.5204591125062337
0.4,0.9,0.9,0.0001,256,23,0.5207864642585092
0.4,0.9,0.9,0.0001,256,30,0.5205838250665226
0.4,0.9,0.9,0.0001,256,50,0.5206967711719117
